Date of Journey,Class of Travel,Quota,From,To,Booking Date,Current Status,Number of Passengers,Age of Passengers,Travel Time,Special Considerations,Confirmation Status
01-09-2024,3AC,General,New Delhi,Bhavnagar,01-01-2024,Confirmed,4,Child,37,Senior Citizen,Confirmed
05-09-2024,2AC,Tatkal,Chennai,Bengaluru,05-01-2024,Confirmed,3,Child,32,None,Confirmed
10-09-2024,1AC,Premium Tatkal,Lucknow,Chennai,10-01-2024,Confirmed,1,Adult,7,None,Confirmed
14-09-2024,2AC,Tatkal,Ahmedabad,Howrah,14-01-2024,RAC,5,Adult,20,Defense Quota,Confirmed
15-09-2024,2AC,Premium Tatkal,Mumbai,Navsari,15-01-2024,Confirmed,5,Child,8,Senior Citizen,Confirmed
17-09-2024,3AC,Tatkal,Surat,Chennai,17-01-2024,RAC,2,Senior Citizen,6,None,Confirmed
21-09-2024,3AC,General,Bengaluru,Bhavnagar,21-01-2024,RAC,2,Senior Citizen,2,Senior Citizen,Confirmed
23-09-2024,Sleeper,General,Bhavnagar,Ahmedabad,23-01-2024,RAC,5,Senior Citizen,37,Defense Quota,Confirmed
25-09-2024,3AC,General,Bharuch,Howrah,25-01-2024,Confirmed,2,Child,25,Senior Citizen,Confirmed
06-10-2024,1AC,Tatkal,Lucknow,Bengaluru,05-02-2024,Confirmed,2,Senior Citizen,7,Defense Quota,Confirmed
28-10-2024,2AC,Tatkal,Mumbai,Chennai,27-02-2024,RAC,2,Senior Citizen,31,None,Confirmed
07-11-2024,2AC,Tatkal,Howrah,Mumbai,08-03-2024,RAC,4,Adult,37,None,Confirmed
11-11-2024,2AC,General,Surat,Ahmedabad,12-03-2024,Waitlisted,2,Senior Citizen,37,None,Not Confirmed
17-11-2024,3AC,Tatkal,Mumbai,New Delhi,18-03-2024,Confirmed,5,Senior Citizen,7,Defense Quota,Confirmed
22-11-2024,1AC,General,Bengaluru,Mumbai,23-03-2024,Waitlisted,4,Child,31,Defense Quota,Not Confirmed
